station_name,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK,pref_cd,lon,lat
亀戸,8.02,8.26,9.65,13.3,9.67,10.9,15.49,,,16.77,,,13.0,139.826262,35.697345
錦糸町,8.75,8.92,11.38,14.4,9.03,14.56,19.56,,,21.04,,,13.0,139.81413600000002,35.696802000000005
両国,8.69,9.42,11.1,15.74,10.74,12.59,19.65,,,,,,13.0,139.79333400000002,35.69579
浅草橋,9.02,10.17,12.12,16.8,13.22,16.05,21.98,,,,,,13.0,139.784427,35.697403
戸塚,5.73,6.7,9.37,11.36,,8.11,,,,16.44,,,14.0,139.53428200000002,35.400432
藤沢,5.81,6.8,7.27,9.47,,7.94,12.11,,,14.55,,,14.0,139.487293,35.338882
辻堂,5.99,5.95,,,,7.9,8.07,,,17.7,,,14.0,139.44710600000002,35.336847
茅ケ崎,5.59,5.66,6.17,10.57,,8.45,,,,21.31,,,14.0,139.407197,35.330740999999996
平塚,5.49,5.83,,,,6.47,10.55,,,12.68,,,14.0,139.349063,35.327647
大磯,,4.86,,,,,,,,,,,14.0,139.31338799999997,35.311299
二宮,,5.57,,,,,,,,,,,14.0,139.256925,35.298644
国府津,,4.47,,6.77,,,,,,,,,14.0,139.212932,35.280832000000004
鴨宮,4.11,5.15,5.17,6.66,,6.35,6.39,,6.47,,,,14.0,139.180147,35.275744
小田原,5.64,6.35,,7.06,,6.11,,,,,,,14.0,139.15577199999998,35.256225
早川,,3.96,,,,,,,,,,,14.0,139.145014,35.238875
根府川,,,,,,,,,,,,,14.0,139.138504,35.202455
真鶴,,,,,,,,,,,,,14.0,139.132148,35.156837
湯河原,,5.37,,,,,,,,,,,14.0,139.102142,35.146178000000006
三河島,6.96,8.45,8.58,12.14,8.32,10.36,19.24,,,,,,13.0,139.777131,35.733383
南千住,7.83,8.16,10.71,15.28,8.36,10.83,19.73,,,18.33,,,13.0,139.7994,35.734033000000004
北千住,6.56,7.57,9.19,12.16,8.34,9.8,15.63,,,18.67,,,13.0,139.804872,35.749677
綾瀬,6.27,6.87,7.88,10.9,7.02,8.73,11.17,,10.16,13.01,,,13.0,139.825019,35.762221999999994
亀有,6.39,6.99,8.05,10.25,11.09,8.93,12.5,,10.97,12.2,,,13.0,139.847573,35.766527
金町,5.28,6.32,6.63,10.34,,8.32,11.63,,,13.66,,,13.0,139.870482,35.769582
松戸,6.14,6.48,7.74,10.95,,8.5,11.59,,,16.46,,,12.0,139.900779,35.784471999999994
北松戸,6.41,5.75,6.86,7.94,,7.13,8.74,,8.57,,,,12.0,139.911528,35.800459000000004
馬橋,5.3,5.82,7.23,7.59,,5.89,9.84,,6.8,11.91,,,12.0,139.917305,35.811682
新松戸,5.4,5.62,4.8,7.5,,5.49,8.39,,,9.56,,,12.0,139.921076,35.825466999999996
北小金,4.49,5.08,,7.87,,6.88,9.04,,,,,,12.0,139.931303,35.833436
南柏,4.84,5.38,6.32,9.31,,6.47,10.6,,,11.03,,,12.0,139.954111,35.844654999999996
柏,4.9,6.38,7.84,10.16,,10.44,12.74,,,14.8,,,12.0,139.971148,35.862316
北柏,4.11,4.79,,7.13,,,,,,9.49,,,12.0,139.988035,35.875623
我孫子,4.24,4.95,,8.71,,5.84,9.04,,,,,,12.0,140.01046599999998,35.87279
天王台,3.67,4.62,,7.41,,5.7,9.39,,,8.7,,,12.0,140.04121,35.872558000000005
片倉,3.96,4.83,,7.99,,6.59,8.2,,7.78,,,,13.0,139.34118999999998,35.639703999999995
八王子みなみ野,5.69,5.82,,8.55,,,10.25,,,11.7,,,13.0,139.330678,35.630664
相原,4.2,4.91,,7.64,,6.82,7.8,,6.96,,,,13.0,139.33168999999998,35.60694
橋本,4.22,5.52,7.01,8.35,,7.78,9.42,,8.9,,,,14.0,139.34458600000002,35.594975
相模原,4.91,5.17,5.97,8.63,,7.73,9.31,,,8.2,,,14.0,139.37100700000002,35.58113
矢部,3.66,4.66,6.49,,,6.34,,,,,,,14.0,139.386373,35.573275
淵野辺,4.36,5.08,6.14,9.9,5.77,6.74,8.71,,,,,,14.0,139.395075,35.568784
古淵,5.13,5.29,,8.09,,6.64,7.22,,7.48,10.59,,,14.0,139.419151,35.556055
町田,6.12,7.07,8.47,9.98,,8.39,12.7,,8.01,15.41,,,13.0,139.445579,35.542004
成瀬,,5.68,7.32,8.96,,7.59,,,,,,,13.0,139.472875,35.535412
長津田,6.25,6.11,6.14,,,7.59,9.6,,8.87,13.07,,,14.0,139.49468000000002,35.531698
十日市場,5.28,5.31,,9.0,,7.69,,,,,,,14.0,139.51668999999998,35.526253999999994
中山,5.67,5.98,6.46,8.52,,7.31,11.58,,9.51,11.34,,,14.0,139.539692,35.514745
鴨居,7.05,6.67,,9.1,,,,,,12.36,,,14.0,139.56707,35.510954999999996
小机,5.67,6.32,,,,6.74,8.5,,,,,,14.0,139.59978700000002,35.508533
新横浜,7.56,8.11,9.91,12.7,,8.24,12.21,,11.62,17.18,,,14.0,139.617348,35.506824
菊名,6.07,6.56,7.54,10.09,7.04,9.47,12.37,,,16.4,,,14.0,139.630147,35.509749
大口,5.5,6.73,8.77,9.26,,7.9,,,,13.8,,,14.0,139.646288,35.492375
羽沢横浜国大,4.98,6.44,,,,,,,,,,,14.0,139.586389,35.481389
武蔵小杉,7.04,8.05,10.3,14.31,9.62,10.2,21.8,,,26.05,,,14.0,139.65963,35.57669
西大井,8.23,8.4,11.05,14.05,,11.87,16.62,,,,,,13.0,139.721729,35.601616
板橋,7.04,8.54,10.34,13.79,8.81,10.47,21.0,,,,,,13.0,139.719507,35.745435
十条,6.3,7.66,8.3,12.0,8.75,10.01,18.77,,15.5,16.07,,,13.0,139.72223300000002,35.760321000000005
北赤羽,5.88,7.41,8.63,10.64,7.1,9.76,,,,,,,13.0,139.70569,35.787007
浮間舟渡,6.0,6.8,,10.91,7.4,9.25,10.17,,,,,,13.0,139.691341,35.791209
戸田公園,5.39,6.2,,13.32,,8.29,,,,,,,11.0,139.678203,35.807906
戸田,5.2,5.79,,12.56,6.6,7.48,12.45,,,13.57,,,11.0,139.669548,35.817665000000005
北戸田,5.19,6.06,7.02,11.32,,6.59,11.21,,,15.15,,,11.0,139.661201,35.826883
武蔵浦和,5.53,6.72,,12.13,,7.73,14.14,,,13.23,,,11.0,139.647974,35.846047
中浦和,4.79,5.71,,10.93,,7.46,9.23,,8.13,10.82,,,11.0,139.6375,35.853769
南与野,,5.77,5.5,8.24,4.5,7.58,10.93,,7.32,,,,11.0,139.631117,35.867456
与野本町,5.41,6.09,6.43,9.18,,,11.31,,8.85,,,,11.0,139.626075,35.880967999999996
北与野,6.77,6.51,7.75,8.71,,8.59,13.35,,8.5,18.87,,,11.0,139.628521,35.890678
