station_name,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK,pref_cd,lon,lat,travel_time_train,travel_time_bicycle
初台,8.87,9.67,13.35,17.65,12.48,15.88,28.41,,,,,,13.0,139.686354,35.68123,17,13
幡ヶ谷,8.74,8.78,13.07,15.36,,,18.65,,,,,,13.0,139.676183,35.677061,18,15
笹塚,8.45,8.86,12.69,16.27,8.77,12.32,21.73,,,33.18,,,13.0,139.667251,35.673758,14,16
代田橋,7.14,8.55,10.81,14.62,10.68,10.66,17.63,,,,,,13.0,139.659413,35.671092,13,18
明大前,7.02,7.8,10.14,14.68,9.83,9.87,22.91,,,27.82,,,13.0,139.650352,35.66875800000001,10,21
桜上水,6.67,7.63,9.51,13.66,,11.0,,,,,,,13.0,139.63128999999998,35.66768,16,29
上北沢,6.68,7.78,9.13,12.81,,11.65,,,,,,,13.0,139.62329,35.668857,19,31
八幡山,6.45,7.35,9.12,11.89,9.04,10.37,16.27,,,,,,13.0,139.614927,35.669982,21,34
芦花公園,5.96,7.47,10.31,12.95,,10.71,15.76,,,,,,13.0,139.608247,35.670479,23,38
千歳烏山,7.15,7.7,10.24,12.36,8.69,10.01,17.62,,,,,,13.0,139.60067,35.667921,17,41
仙川,7.53,7.04,9.74,11.91,9.8,10.17,14.83,,,18.5,,,13.0,139.584908,35.66225700000001,21,45
つつじヶ丘,6.61,6.77,8.43,11.32,,10.68,13.82,,,16.73,,,13.0,139.575103,35.657936,23,48
柴崎,5.66,6.43,8.1,10.68,,9.6,12.2,,,17.48,,,13.0,139.56658000000002,35.653997,31,51
国領,5.51,6.51,,10.74,,9.34,14.88,,8.16,,,,13.0,139.55803600000002,35.650087,32,54
布田,5.88,6.6,6.38,10.68,7.85,9.25,15.48,,11.58,13.29,,,13.0,139.551557,35.649904,34,57
調布,6.31,6.87,7.68,13.8,8.38,9.97,,,,17.75,,,13.0,139.54398799999998,35.652181,23,59
西調布,5.26,5.99,5.84,10.09,,7.44,,,,11.87,,,13.0,139.529822,35.657169,32,64
飛田給,6.22,6.06,6.44,,6.95,8.03,11.58,,,16.67,,,13.0,139.523666,35.66012100000001,33,67
武蔵野台,5.04,5.84,7.5,8.87,7.28,7.89,10.24,,8.5,,,,13.0,139.51128899999998,35.66415900000001,35,73
多磨霊園,4.48,5.93,,9.31,,8.51,10.39,,,,,,13.0,139.502615,35.666197,37,76
東府中,4.23,6.23,6.43,10.03,,7.85,10.56,,,,,,13.0,139.495257,35.668766,38,78
府中,6.39,7.05,6.83,10.92,,9.06,12.27,,,14.56,,,13.0,139.4799,35.67224500000001,32,83
中河原,5.65,5.94,,8.89,,7.57,,,,,,,13.0,139.457602,35.659549,39,97
聖蹟桜ヶ丘,5.5,6.16,,9.44,,,12.53,,,16.92,,,13.0,139.446979,35.65081400000001,38,100
百草園,3.76,4.54,,8.15,,6.39,,,,,,,13.0,139.431285,35.657362,43,106
高幡不動,4.34,5.0,6.28,8.62,,7.12,,,8.33,9.26,,,13.0,139.41295300000002,35.662361,42,112
南平,6.23,4.98,4.71,7.7,6.45,,8.01,,8.57,10.31,,,13.0,139.392008,35.654559000000006,49,123
平山城址公園,3.8,4.73,,7.61,,6.7,8.85,,,,,,13.0,139.379926,35.647371,51,128
長沼,3.53,4.31,7.1,7.5,,,8.39,,10.78,9.49,,,13.0,139.365849,35.642788,53,135
北野,4.38,5.13,,7.61,6.69,,10.7,,7.57,10.95,,,13.0,139.354489,35.644479,47,141
京王八王子,4.63,6.21,7.54,10.94,6.27,7.16,12.06,,7.97,,,,13.0,139.343851,35.657416,51,142
神泉,10.78,12.23,13.97,20.74,,,31.21,,,86.9,,,13.0,139.693579,35.657244,1,3
駒場東大前,9.13,9.46,12.93,19.8,,,30.24,,,,,,13.0,139.68430800000002,35.65868,2,6
池ノ上,8.14,8.22,9.99,15.42,10.36,,23.93,,,29.33,,,13.0,139.67344,35.66040200000001,4,13
下北沢,9.87,8.7,9.88,19.59,10.1,,26.87,,,41.99,,,13.0,139.66691,35.66153900000001,6,17
新代田,8.63,8.08,7.15,20.84,9.21,,28.62,,,,,,13.0,139.660524,35.662593,7,19
東松原,7.14,7.44,9.42,13.8,,12.49,,,,,,,13.0,139.655535,35.66263400000001,8,21
永福町,6.72,7.61,10.07,13.05,8.67,11.68,18.86,,,19.98,,,13.0,139.64273300000002,35.67629,13,25
西永福,6.91,7.34,9.4,12.9,6.65,11.16,19.5,,14.3,22.33,,,13.0,139.634936,35.678918,14,29
浜田山,6.46,7.58,9.17,14.22,,,17.79,,,24.55,,,13.0,139.627528,35.681603,15,33
高井戸,6.75,7.51,8.48,11.99,,,15.75,,,,,,13.0,139.615115,35.683253,17,39
富士見ヶ丘,6.17,7.14,,11.94,,9.91,,,,,,,13.0,139.607072,35.684805,19,42
久我山,6.48,7.15,10.05,12.56,,11.51,16.16,,,19.5,,,13.0,139.599211,35.688138,18,45
三鷹台,5.9,6.58,6.66,11.43,7.8,11.14,13.72,,,19.8,,,13.0,139.589298,35.69204600000001,23,49
井の頭公園,6.44,7.0,9.23,14.44,9.2,,17.88,,,,,,13.0,139.583112,35.69730399999999,24,53
京王多摩川,5.34,6.28,7.45,10.28,7.89,7.85,11.85,,,,,,13.0,139.536606,35.644499,28,65
京王稲田堤,4.84,5.67,5.71,8.48,6.91,7.47,9.83,,9.52,,,,14.0,139.531099,35.633895,29,68
京王よみうりランド,3.96,5.1,6.55,8.08,,,9.74,,,,,,13.0,139.517597,35.63293400000001,31,74
稲城,4.11,5.3,,9.29,,7.22,12.96,,,9.74,,,13.0,139.500398,35.636166,34,80
若葉台,,5.73,,11.85,,,13.11,,,,,,14.0,139.472189,35.619325,37,98
京王永山,5.68,5.26,,9.26,,6.85,11.95,,,,,,13.0,139.448204,35.630102,40,109
京王多摩センター,5.89,6.56,,,,,,,,14.67,,,13.0,139.42401999999998,35.62518,43,117
京王堀之内,4.58,4.66,,9.28,,,,,,8.85,,,13.0,139.40031399999998,35.624438,47,128
南大沢,4.15,4.69,6.42,9.03,,,8.3,,,12.66,,,13.0,139.3798,35.6141,49,135
多摩境,5.83,5.16,,8.12,,,,,6.67,,,,13.0,139.36698700000002,35.601826,51,146
京王片倉,3.97,4.6,4.67,7.7,5.76,6.29,8.96,,7.98,,,,13.0,139.337035,35.644343,51,152
山田,3.97,3.99,,6.65,,,,,7.8,,,,13.0,139.32108200000002,35.644411,53,158
めじろ台,4.38,5.48,,,,7.33,,,,,,,13.0,139.308446,35.64360100000001,54,165
狭間,4.07,4.4,3.81,,,6.54,,,7.38,10.06,,,13.0,139.293808,35.640637,56,169
高尾山口,,,,,,,,,,,,,13.0,139.269856,35.63237700000001,62,176
多摩動物公園,2.69,4.3,,,3.6,,,,,,,,13.0,139.404627,35.64921500000001,49,121
府中競馬正門前,6.18,6.72,,11.4,,8.37,,,,,,,13.0,139.485019,35.66828800000001,43,82
京成上野,6.84,,,16.68,,,,,,,,,13.0,139.773571,35.711232,31,43
新三河島,6.83,7.72,8.69,12.69,7.21,10.31,15.4,,,19.68,,,13.0,139.77383400000002,35.73714000000001,36,56
京成町屋,6.18,7.24,7.8,12.0,8.71,10.46,,,,,,,,,,35,59
千住大橋,6.31,7.63,8.41,11.87,7.72,8.41,12.6,,,,,,13.0,139.79693400000002,35.74243,40,61
