station,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK
越谷レイクタウン,7.30,,,8.32,,,9.95,,,,,
吉川,6.30,5.62,5.40,7.58,7.00,6.13,8.04,,,,,
吉川美南,,6.08,,8.80,,,,,,,,
新三郷,,,,,,,,,,,,
三郷,4.88,5.86,,7.45,6.90,6.51,,,,9.23,,
南流山,4.15,6.16,7.72,9.14,,6.52,10.77,,8.12,11.80,10.70,
新八柱,4.48,5.14,,,,5.72,9.00,,,9.33,,
東松戸,5.51,5.83,,9.15,,6.60,10.47,,,14.34,,
市川大野,,5.10,,7.22,,6.65,7.97,,6.00,,,
船橋法典,,6.03,,8.06,,8.10,8.32,,,9.37,,
南船橋,,,,,,,,,,,,
市川塩浜,,,,,,,,,,,,
尾久,6.55,7.50,7.55,11.43,,8.97,14.83,,,,,
宮原,5.91,5.32,,8.92,,5.86,7.83,,7.08,10.36,,
上尾,,5.87,,8.96,,5.98,,,,14.00,,
北上尾,4.70,5.38,,6.81,,,,,5.98,,,
桶川,5.93,4.98,,6.28,,,6.25,,,8.42,,
北本,4.29,4.68,,,,6.21,7.07,,,8.49,,
鴻巣,,4.47,,,,5.13,,,,8.22,,
北鴻巣,,5.31,,,,,,,,,,
吹上,4.37,4.27,,,,5.06,,,,,,
行田,,5.39,,5.76,,,6.13,,,,,
熊谷,4.95,5.52,,,,,,,,,,
籠原,3.76,5.19,,6.72,,4.89,6.97,,,,,
深谷,5.85,3.96,,6.24,,,5.78,,,,,
岡部,,,,,,,,,,,,
本庄,,4.31,,5.83,,,5.88,,,,,
神保原,,3.92,,4.70,,3.91,4.57,,,,,
八丁堀,11.01,9.81,14.21,17.62,,17.02,24.29,,,32.90,,
越中島,8.58,9.22,10.95,16.54,,,22.24,,,,,
潮見,6.41,8.05,,,,,16.60,,14.56,17.07,,
新木場,,,,,,,,,,,,
葛西臨海公園,,,,,,,,,,,,
舞浜,,6.35,,,,,,,,,,
新浦安,6.09,7.20,8.40,,,,,,,,,
二俣新町,,,,,,,,,,,,
新習志野,,,,,,,,,,,,
海浜幕張,7.90,,,,,,,,,,,
検見川浜,,,,,,,,,,,,
稲毛海岸,7.36,6.81,,,,,,,,,,
千葉みなと,6.14,6.18,6.57,8.25,,,12.03,,,16.59,,
蘇我,5.89,5.95,6.08,8.95,,6.07,11.21,,7.75,10.48,,
土呂,,5.81,,9.59,,6.10,11.18,,,9.31,,
東大宮,4.77,5.14,7.30,8.79,,,8.53,,6.25,8.32,,
蓮田,,4.69,,,,,8.03,,7.02,,,
白岡,6.27,5.50,,7.13,,5.38,,,,,,
新白岡,,5.28,,6.80,,,,,,,,
久喜,4.28,5.15,,6.13,,5.40,,,,,,
東鷲宮,,,,,,,,,,,,
栗橋,,5.16,,,,4.77,5.87,,,,,
相模湖,,,,,,,,,,,,
藤野,,,,,,,,,,,,
新日本橋,11.70,10.21,15.31,16.78,,,,,,,,
馬喰町,9.79,10.62,13.78,17.05,,20.19,23.50,,,,,
東千葉,5.42,5.11,5.78,8.14,5.00,5.84,9.10,,,,,
都賀,4.21,4.48,5.32,6.97,4.22,5.90,6.90,,7.08,6.90,,
四街道,5.60,5.09,,6.39,,5.16,,,,,,
物井,,4.26,,7.40,,,,,,,,
佐倉,5.50,5.19,,6.98,,4.86,7.86,,,,,
南酒々井,,,,,,,,,,,,
榎戸,,4.95,,,,,,,,,,
八街,,,,,,4.50,5.83,,,,,
日向,,,,,,,,,,,,
成東,,4.38,,,,,,,,,,
松尾,,,,,,,,,,,,
横芝,,,,,,,,,,,,
飯倉,,,,,,4.86,,,,,,
八日市場,,,,,,,,,,,,
干潟,,,,,,,,,,,,
旭,,,,,,,,,,,,
飯岡,,,,,,,,,,,,
倉橋,,,,,,,,,,,,
猿田,,,,,,,,,,,,
松岸,,3.88,,,,,,,,,,
銚子,,3.84,,,,,,,,,,
西立川,4.83,5.57,,,,7.80,14.36,,,,,
東中神,4.80,6.18,5.32,8.30,5.00,,,,,,,
中神,4.51,6.19,,8.36,,6.54,,,,,,
昭島,6.00,4.95,,8.44,,7.31,9.15,,,,,
拝島,3.97,4.65,,,,6.71,,,,,,
牛浜,,4.18,,6.89,,6.01,7.68,,7.10,,,
福生,5.83,5.06,4.92,7.42,,6.22,8.44,,6.81,,,
羽村,,5.20,,7.80,,5.83,,,6.16,,,
小作,4.93,5.95,,7.45,,6.51,6.24,,6.37,7.53,,
河辺,5.28,5.22,,7.49,,6.77,8.01,,,,,
東青梅,,3.87,,6.79,,,6.94,,,,,
青梅,,4.65,,,,,,,,,,
宮ノ平,,,,,,,,,,,,
日向和田,,,,,,,,,,,,
石神前,,,,,,,5.13,,,,,
二俣尾,,,,,,,,,,,,
軍畑,,,,,,,,,,,,
沢井,,,,,,,,,,,,
御嶽,,,,,,,,,,,,
川井,,,,,,,,,,,,
古里,,,,,,,,,,,,
鳩ノ巣,,,,,,,,,,,,
白丸,,,,,,,,,,,,
奥多摩,,,,,,,,,,,,
北八王子,,5.50,,,,7.60,,,,,,
小宮,4.23,4.33,,7.86,,4.45,,,6.80,,,
東福生,,4.91,,5.77,,5.94,,,7.09,,,
箱根ケ崎,,4.72,,,,,,,,,,
金子,,,,5.30,,,6.30,,,,,
東飯能,4.74,5.20,,7.53,,,,,,,,
高麗川,,4.42,,,,,6.99,,,,,
毛呂,,4.39,,6.43,,,,,,,,
越生,,3.90,,,,,5.61,,,,,
明覚,,,,,,,,,,,,
小川町,,,,,,,,,,,,
竹沢,,,,,,,,,,,,
折原,,,,,,,,,,,,
寄居,,,,,,,5.66,,,,,
用土,,,,,,,5.71,,,,,
松久,,,,,,,,,,,,
児玉,,4.01,,4.88,,,,,,,,
丹荘,,3.80,,,,,,,,,,
熊川,3.48,4.49,,6.40,,5.73,,,6.86,,,
東秋留,,,,5.50,,,,,,,,
秋川,,4.48,,5.98,,5.58,,,6.31,,,
武蔵引田,,,5.95,6.15,,,,,,,,
武蔵増戸,,3.34,,6.43,,,6.40,,,,,
武蔵五日市,,,,,,,8.80,,,,,
本庄早稲田,5.48,,,,,,,,,,,
落合,7.42,8.27,10.84,14.84,9.95,12.00,17.65,,,21.07,,
早稲田,8.06,8.52,11.85,14.48,,12.38,,,,,,
神楽坂,9.44,9.92,12.43,18.12,13.49,13.14,27.49,,,29.90,,
九段下,10.86,10.39,15.17,19.39,,17.90,29.17,,,,,
竹橋,10.04,11.71,,22.24,,,,,,,,
大手町,11.66,10.45,,17.15,,,,,,,,
日本橋,11.62,9.38,16.14,17.58,,,,,,,,
茅場町,10.87,9.52,14.05,17.76,,16.54,23.39,,,32.10,,
門前仲町,9.70,9.56,11.39,13.89,10.66,12.03,21.82,,,,,
木場,9.04,9.38,11.42,12.23,9.27,9.96,16.27,,,18.43,,
東陽町,9.10,9.29,11.26,13.32,9.53,10.82,18.51,,,18.75,,
南砂町,7.14,8.56,9.92,14.08,,,17.43,,,,,
西葛西,6.66,6.97,8.14,11.92,,8.67,12.13,,,14.78,,
葛西,6.75,6.96,8.37,10.36,9.05,9.11,13.02,,,14.63,,
浦安,6.33,6.77,7.30,10.16,7.23,8.53,,,,,,
南行徳,5.67,6.73,7.06,9.85,7.18,7.86,10.94,,,13.26,,
行徳,6.15,6.66,7.02,9.30,,8.49,10.74,,,13.28,,
妙典,6.62,6.38,8.02,9.84,6.70,9.19,11.78,,11.57,13.23,,
